GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Auto Insurance API,com.autoinsurance.quote.service.validation,QuoteValidationServiceImpl,0,394,6,62,0,89,6,43,0,15
Auto Insurance API,com.autoinsurance.quote.exception,InvalidQuoteRequestException,0,9,0,0,0,4,0,2,0,2
Auto Insurance API,com.autoinsurance.quote.exception,QuoteNotFoundException,0,9,0,0,0,4,0,2,0,2
Auto Insurance API,com.autoinsurance.config,SecurityConfig,0,18,0,0,0,6,0,3,0,3
Auto Insurance API,com.autoinsurance.config,CacheConfig,0,31,0,0,0,9,0,4,0,4
Auto Insurance API,com.autoinsurance.config,OpenApiConfig,0,120,0,0,0,45,0,10,0,10
Auto Insurance API,com.autoinsurance.config,SwaggerConfig,0,86,0,0,0,33,0,4,0,4
Auto Insurance API,com.autoinsurance,AutoInsuranceApiApplication,0,8,0,0,0,3,0,2,0,2
Auto Insurance API,com.autoinsurance.quote.config,QuoteValidationConfig,0,55,0,0,0,21,0,10,0,10
Auto Insurance API,com.autoinsurance.quote.service,QuoteServiceImpl,2,343,2,8,1,81,2,14,0,11
Auto Insurance API,com.autoinsurance.quote.service,PremiumCalculation,0,55,0,2,0,18,0,8,0,7
Auto Insurance API,com.autoinsurance.quote.service,QuoteEntityBuilder,0,86,1,3,0,25,1,4,0,3
Auto Insurance API,com.autoinsurance.quote.service,RiskCalculationServiceImpl,0,130,0,10,0,30,0,10,0,5
Auto Insurance API,com.autoinsurance.quote.service,DiscountServiceImpl,0,123,0,14,0,27,0,11,0,4
Auto Insurance API,com.autoinsurance.quote.dto,DriverDto.DriverDtoBuilder,0,71,0,0,0,13,0,10,0,10
Auto Insurance API,com.autoinsurance.quote.dto,QuoteRequestDto,0,50,0,0,0,16,0,11,0,11
Auto Insurance API,com.autoinsurance.quote.dto,QuoteRequestDto.QuoteRequestDtoBuilder,0,35,0,0,0,6,0,6,0,6
Auto Insurance API,com.autoinsurance.quote.dto,QuoteResponseDto.QuoteResponseDtoBuilder,0,61,0,0,0,11,0,9,0,9
Auto Insurance API,com.autoinsurance.quote.dto,QuoteResponseDto,45,57,3,1,9,18,10,9,8,9
Auto Insurance API,com.autoinsurance.quote.dto,VehicleDto.VehicleDtoBuilder,0,42,0,0,0,7,0,7,0,7
Auto Insurance API,com.autoinsurance.quote.dto,VehicleDto,0,60,0,0,0,19,0,13,0,13
Auto Insurance API,com.autoinsurance.quote.dto,DriverDto,0,106,0,0,0,30,0,19,0,19
Auto Insurance API,com.autoinsurance.common.exception,GlobalExceptionHandler,19,86,0,0,6,23,1,6,1,6
Auto Insurance API,com.autoinsurance.quote.entity,Quote.QuoteBuilder,0,117,0,0,0,20,0,17,0,17
Auto Insurance API,com.autoinsurance.quote.entity,Quote,0,179,0,6,0,53,0,37,0,34
Auto Insurance API,com.autoinsurance.quote.controller,QuoteController,0,60,0,2,0,16,0,6,0,5
